"";"Annee";"Num_operation";"date_peche";"Code_station";"Lb_station";"Coord_X";"Coord_Y";"Cd_Rdd";"Lb_Rdd";"Methode_prospection";"Mode_prospection";"Nombre_passage";"Surface_prospectee"
"125";2000;382;2000-05-18 14:45:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche par ambiances";"En bateau";NA;1320
"126";2001;397;2001-05-17 14:00:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche par ambiances";"En bateau";NA;1010
"127";2002;399;2002-04-11 14:00:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche par ambiances";"En bateau";NA;1240
"128";2003;420;2003-11-19 09:30:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche par ambiances";"En bateau";NA;1160
"129";2005;1520;2005-06-15;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;937,5
"130";2006;1727;2006-07-05 14:00:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;1250
"131";2007;1807;2007-09-06 14:00:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;1250
"132";2009;2050;2009-08-27 09:30:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;1250
"133";2011;2299;2011-09-07 09:20:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;1250
"134";2013;4914;2013-10-08 15:20:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;1250
"135";2015;5120;2015-07-20 14:00:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche partielle par points (grand milieu)";"En bateau";NA;1250
"136";1996;45025;1996-05-15 14:25:00;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche par ambiances";"En bateau";NA;1780
"137";2004;46152;2004-06-16;"01079000";"Canal de La Deule à Don";2,93371903704414;50,5508577812642;NA;NA;"Pêche par ambiances";"En bateau";NA;1226
"138";2002;406;2002-04-10 10:00:00;"01089000";"L' Yser à Bambecque";2,54767482518083;50,8977344083754;NA;NA;"Pêche par ambiances";"A pied";NA;218
"139";2003;411;2003-06-05 10:15:00;"01089000";"L' Yser à Bambecque";2,54767482518083;50,8977344083754;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";1;930
"140";2003;411;2003-06-05 10:15:00;"01089000";"L' Yser à Bambecque";2,54767482518083;50,8977344083754;NA;NA;"Pêche complète à un ou plusieurs passages";"A pied";2;930
